,Species,#leaves,%DMG,%Spec,%Gall,%Mine,DTs,SpecDTs,GDTs,MDTs,#FFGs
1,AHUC102387,8,1,1,0.125,0.25,8,5,1,1,5
2,AHUC102397,5,0.6,0.4,0,0.4,4,3,0,2,3
3,AHUC102398,3,0.666666667,0.333333333,0,0,2,1,0,0,2
4,CHSC021925,7,0.571428571,0.428571429,0.428571429,0,6,4,3,0,2
5,CHSC023528,8,0.25,0.25,0,0,3,3,0,0,2
6,CHSC039795,5,0.4,0.4,0.2,0.4,4,4,1,2,3
7,CHSC075376,5,1,1,0,0.2,7,6,0,1,3
8,CHSC110543,5,0.2,0.2,0,0.2,1,1,0,1,1
9,DAV309008,8,0.5,0.375,0.25,0.125,7,4,2,2,4
10,DAV309014,8,0.875,0.75,0.25,0,7,6,2,0,4
11,DAV309017,7,0.857142857,0.714285714,0.428571429,0.142857143,4,3,1,1,4
12,DAV309031,5,0.6,0.2,0,0,2,1,0,0,2
13,DAV309036,3,0.666666667,0.666666667,0,0.666666667,2,2,0,1,1
14,DAV309037,8,0.625,0.625,0,0.375,4,3,0,2,2
15,DAV309046,7,0,0,0,0,0,0,0,0,0
16,DAV309060,5,0.4,0.2,0,0,2,1,0,0,2
17,DAV309063,5,0.8,0.4,0,0.4,4,2,0,2,2
18,DAV309065,4,0,0,0,0,0,0,0,0,0
19,DAV314968,4,0.75,0.5,0,0,2,1,0,0,2
20,DAV314972,4,1,1,0,0.25,4,4,0,1,2
21,DAV314984,6,0.833333333,0.666666667,0,0.666666667,7,4,0,2,4
22,DAV314986,5,1,0.8,0,0,7,4,0,0,4
23,DAV314989,5,0.2,0,0,0,1,0,0,0,1
24,DAV314998,5,1,1,0.2,0.2,8,5,1,1,4
25,DAV338118,5,0.6,0.6,0,0,1,1,0,0,1
26,FSC0005880,6,0.333333333,0,0,0,2,0,0,0,2
27,FSC0005888,4,0.25,0,0,0,1,0,0,0,1
28,FSC0005890,8,0.25,0.125,0,0,3,2,0,0,2
29,HSC201129,5,0,0,0,0,0,0,0,0,0
30,HSC201132,8,0.375,0.375,0.125,0.25,7,5,1,1,4
31,HSC201133,5,0.8,0.8,0,0.4,4,4,0,1,2
32,JEPS116539,8,0.5,0.5,0.25,0.125,6,6,2,1,4
33,JEPS117323,8,0.625,0.375,0,0.25,6,4,0,2,4
34,JEPS37352,8,0.125,0.125,0,0,1,1,0,0,1
35,JEPS37353,8,0.25,0.125,0,0,2,1,0,0,2
36,JEPS37357,7,1,0.714285714,0,0.285714286,10,6,0,2,4
37,JEPS37358,8,0.375,0.375,0,0.375,2,2,0,2,1
38,JEPS37359,8,0.75,0.75,0.125,0.375,8,7,1,3,4
39,JEPS37360,5,0.2,0.2,0,0.2,2,1,0,1,2
40,JEPS37361,2,1,1,0,0.5,2,2,0,1,2
41,JEPS37463,8,0.875,0.875,0.125,0.25,8,8,1,1,4
42,JEPS37468,8,0.5,0.375,0,0.25,5,4,0,1,3
43,JEPS37469,5,0,0,0,0,0,0,0,0,0
44,JEPS37470,8,0.375,0.375,0,0.25,4,4,0,2,2
45,JEPS37663,8,0.375,0.375,0.25,0.25,11,9,2,2,5
46,JEPS38059,3,0.666666667,0.666666667,0,0.333333333,5,5,0,2,3
47,LA00610309,3,0.666666667,0.666666667,0,0,1,1,0,0,1
48,LA00648288,5,0.4,0.2,0,0,2,1,0,0,2
49,LOB116083,5,0.6,0.6,0,0,3,2,0,0,2
50,OBI112563,5,1,1,0,0.8,6,4,0,3,3
51,OBI112580,7,0.571428571,0.285714286,0,0,4,2,0,0,2
52,OBI188258,5,0,0,0,0,0,0,0,0,0
53,RSA0081223,7,0.285714286,0.285714286,0,0,4,3,0,0,3
54,SBBG182634,4,0.75,0.75,0,0.25,6,5,0,1,3
55,SBBG204456,5,0.6,0.6,0,0.2,5,4,0,1,3
56,SBBG204680,5,0.4,0.4,0,0.4,2,2,0,1,2
57,SBBG204689,6,0.833333333,0.833333333,0.166666667,0.166666667,7,6,1,1,5
58,SBBG204702,3,0.666666667,0.666666667,0,0,1,1,0,0,1
59,SBBG205485,8,0.5,0.5,0.125,0.375,5,5,1,2,3
60,SBBG205496,5,0.8,0.6,0,0.2,4,3,0,1,4
61,SBBG205498,6,0.166666667,0,0,0,1,0,0,0,1
62,SBBG205501,6,0.833333333,0.833333333,0.5,0.166666667,10,7,3,1,5
63,SBBG206106,3,0.333333333,0.333333333,0,0,1,1,0,0,1
64,UC1135699,5,0.8,0.6,0.2,0.6,9,6,1,2,4
65,UC1135716,8,0.375,0.375,0.125,0.125,3,3,1,1,3
66,UC1135725,3,0,0,0,0,0,0,0,0,0
67,UC1179011,5,0,0,0,0,0,0,0,0,0
68,UC1193240,7,0.714285714,0.428571429,0,0,6,3,0,0,3
69,UC1196525,5,0.8,0.8,0.2,0.4,3,3,1,1,2
70,UC141898,3,0,0,0,0,0,0,0,0,0
71,UC196970,6,0.833333333,0.666666667,0,0.166666667,3,2,0,1,3
72,UC5635,8,0.5,0.5,0,0.125,5,5,0,1,2
73,UC5637,8,0.5,0.5,0,0,6,6,0,0,3
74,UC5640,8,0.375,0.375,0.25,0,4,3,1,0,3
75,UC770670,5,0.4,0.4,0,0,3,3,0,0,1
76,UCR0068255,5,0,0,0,0,0,0,0,0,0
77,UCR0068262,5,0,0,0,0,0,0,0,0,0
78,UCR0068268,5,0.2,0,0,0,1,0,0,0,1
79,UCR0068275,7,0.428571429,0.285714286,0,0.142857143,6,3,0,1,4
80,UCR0068276,8,0.375,0.375,0.125,0,5,3,1,0,4
81,UCR0068293,6,0.166666667,0.166666667,0,0.166666667,1,1,0,1,1
82,UCR0068299,8,0.875,0.875,0.625,0.25,9,8,2,1,5
83,UCR0068311,8,1,1,0.125,0.75,14,10,1,2,6
84,UCSB002001,8,0.25,0.25,0,0.125,3,3,0,1,2
85,UCSB002004,3,1,1,0,0,6,6,0,0,3
86,UCSB002005,4,0.25,0.25,0,0,1,1,0,0,1
87,UCSB002016,4,0.5,0.25,0.25,0,3,1,1,0,2
88,UCSB002027,8,0,0,0,0,0,0,0,0,0
89,US 2997401,5,0.4,0.4,0,0,2,1,0,0,2
90,Total,521,0.504798464,0.43378119,0.07293666,0.157389635,58,40,12,16,7